Lipid ID	Level	Name	Abbreviation*	Synonyms*	Lipid class*	Parent	Components*	SMILES (pH7.3)	InChI (pH7.3)	InChI key (pH7.3)	Formula (pH7.3)	Charge (pH7.3)	Mass (pH7.3)	Exact Mass (neutral form)	Exact m/z of [M.]+	Exact m/z of [M+H]+	Exact m/z of [M+K]+	Exact m/z of [M+Na]+	Exact m/z of [M+Li]+	Exact m/z of [M+NH4]+	Exact m/z of [M-H]-	Exact m/z of [M+Cl]-	Exact m/z of [M+OAc]-	CHEBI	LIPID MAPS	HMDB	PMID
SLM:000056827	Species	Phosphatidylcholine (O-29:2)	PC(O-29:2)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C37H72NO7P	0	673.943787	673.504639	673.504089	674.511902	712.467773	696.493835	680.520081	691.538452		708.47406	732.518494				
SLM:000056828	Species	Phosphatidylcholine (O-29:3)	PC(O-29:3)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C37H70NO7P	0	671.927979	671.489014	671.488464	672.496277	710.452148	694.47821	678.504456	689.522827		706.458374	730.502869				
SLM:000056829	Species	Phosphatidylcholine (O-30:0)	PC(O-30:0)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C38H78NO7P	0	692.002197	691.551575	691.551025	692.558838	730.514771	714.540833	698.567017	709.585388		726.520996	750.56543				
SLM:000056830	Species	Phosphatidylcholine (O-30:1)	PC(O-30:1)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C38H76NO7P	0	689.986328	689.53595	689.5354	690.543213	728.499084	712.525146	696.551392	707.569763		724.505371	748.549805				
SLM:000056831	Species	Phosphatidylcholine (O-30:2)	PC(O-30:2)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C38H74NO7P	0	687.970398	687.520264	687.519714	688.527588	726.483459	710.509521	694.535767	705.554138		722.489685	746.534119				
SLM:000056832	Species	Phosphatidylcholine (O-30:3)	PC(O-30:3)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C38H72NO7P	0	685.954529	685.504639	685.504089	686.511902	724.467773	708.493835	692.520081	703.538452		720.47406	744.518494				
SLM:000056833	Species	Phosphatidylcholine (O-31:0)	PC(O-31:0)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C39H80NO7P	0	706.028809	705.567261	705.566711	706.574524	744.530396	728.556458	712.582703	723.601074		740.536621	764.581116				
SLM:000056834	Species	Phosphatidylcholine (O-31:1)	PC(O-31:1)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C39H78NO7P	0	704.012878	703.551575	703.551025	704.558838	742.514771	726.540833	710.567017	721.585388		738.520996	762.56543				
SLM:000056835	Species	Phosphatidylcholine (O-31:2)	PC(O-31:2)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C39H76NO7P	0	701.997009	701.53595	701.5354	702.543213	740.499084	724.525146	708.551392	719.569763		736.505371	760.549805				
SLM:000056836	Species	Phosphatidylcholine (O-31:3)	PC(O-31:3)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C39H74NO7P	0	699.981079	699.520264	699.519714	700.527588	738.483459	722.509521	706.535767	717.554138		734.489685	758.534119				
SLM:000056837	Species	Phosphatidylcholine (O-31:4)	PC(O-31:4)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C39H72NO7P	0	697.96521	697.504639	697.504089	698.511902	736.467773	720.493835	704.520081	715.538452		732.47406	756.518494				
SLM:000056838	Species	Phosphatidylcholine (O-31:5)	PC(O-31:5)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C39H70NO7P	0	695.949402	695.489014	695.488464	696.496277	734.452148	718.47821	702.504456	713.522827		730.458374	754.502869				
SLM:000056839	Species	Phosphatidylcholine (O-32:0)	PC(O-32:0)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C40H82NO7P	0	720.055298	719.582886	719.582336	720.590149	758.546021	742.572083	726.598328	737.616699		754.552307	778.596741				23670529
SLM:000056840	Species	Phosphatidylcholine (O-32:1)	PC(O-32:1)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C40H80NO7P	0	718.03949	717.567261	717.566711	718.574524	756.530396	740.556458	724.582703	735.601074		752.536621	776.581116	72347			20431113 | 23670529
SLM:000056841	Species	Phosphatidylcholine (O-32:2)	PC(O-32:2)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C40H78NO7P	0	716.023621	715.551575	715.551025	716.558838	754.514771	738.540833	722.567017	733.585388		750.520996	774.56543				
SLM:000056842	Species	Phosphatidylcholine (O-32:3)	PC(O-32:3)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C40H76NO7P	0	714.00769	713.53595	713.5354	714.543213	752.499084	736.525146	720.551392	731.569763		748.505371	772.549805				
SLM:000056843	Species	Phosphatidylcholine (O-32:4)	PC(O-32:4)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C40H74NO7P	0	711.991821	711.520264	711.519714	712.527588	750.483459	734.509521	718.535767	729.554138		746.489685	770.534119				
SLM:000056844	Species	Phosphatidylcholine (O-32:5)	PC(O-32:5)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C40H72NO7P	0	709.975891	709.504639	709.504089	710.511902	748.467773	732.493835	716.520081	727.538452		744.47406	768.518494				
SLM:000056845	Species	Phosphatidylcholine (O-33:0)	PC(O-33:0)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C41H84NO7P	0	734.081909	733.598511	733.598022	734.605835	772.561707	756.587769	740.614014	751.632385		768.567932	792.612366				
SLM:000056846	Species	Phosphatidylcholine (O-33:1)	PC(O-33:1)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C41H82NO7P	0	732.065979	731.582886	731.582336	732.590149	770.546021	754.572083	738.598328	749.616699		766.552307	790.596741				
SLM:000056847	Species	Phosphatidylcholine (O-33:2)	PC(O-33:2)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C41H80NO7P	0	730.050171	729.567261	729.566711	730.574524	768.530396	752.556458	736.582703	747.601074		764.536621	788.581116				
SLM:000056848	Species	Phosphatidylcholine (O-33:3)	PC(O-33:3)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C41H78NO7P	0	728.034302	727.551575	727.551025	728.558838	766.514771	750.540833	734.567017	745.585388		762.520996	786.56543				
SLM:000056849	Species	Phosphatidylcholine (O-33:4)	PC(O-33:4)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C41H76NO7P	0	726.018372	725.53595	725.5354	726.543213	764.499084	748.525146	732.551392	743.569763		760.505371	784.549805				
SLM:000056850	Species	Phosphatidylcholine (O-33:5)	PC(O-33:5)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C41H74NO7P	0	724.002502	723.520264	723.519714	724.527588	762.483459	746.509521	730.535767	741.554138		758.489685	782.534119				
SLM:000056851	Species	Phosphatidylcholine (O-33:6)	PC(O-33:6)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C41H72NO7P	0	721.986572	721.504639	721.504089	722.511902	760.467773	744.493835	728.520081	739.538452		756.47406	780.518494				
SLM:000056852	Species	Phosphatidylcholine (O-34:0)	PC(O-34:0)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C42H86NO7P	0	748.108521	747.614197	747.613647	748.62146	786.577332	770.603394	754.629639	765.64801		782.583618	806.628052	67077			
SLM:000056853	Species	Phosphatidylcholine (O-34:1)	PC(O-34:1)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C42H84NO7P	0	746.09259	745.598511	745.598022	746.605835	784.561707	768.587769	752.614014	763.632385		780.567932	804.612366	67076			23670529 | 19603071
SLM:000056854	Species	Phosphatidylcholine (O-34:2)	PC(O-34:2)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C42H82NO7P	0	744.076721	743.582886	743.582336	744.590149	782.546021	766.572083	750.598328	761.616699		778.552307	802.596741	64544			23670529 | 19603071
SLM:000056855	Species	Phosphatidylcholine (O-34:3)	PC(O-34:3)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C42H80NO7P	0	742.060913	741.567261	741.566711	742.574524	780.530396	764.556458	748.582703	759.601074		776.536621	800.581116	64541			19603071 | 20431113 | 23670529
SLM:000056856	Species	Phosphatidylcholine (O-34:4)	PC(O-34:4)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C42H78NO7P	0	740.044983	739.551575	739.551025	740.558838	778.514771	762.540833	746.567017	757.585388		774.520996	798.56543	67075			
SLM:000056857	Species	Phosphatidylcholine (O-34:5)	PC(O-34:5)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C42H76NO7P	0	738.029114	737.53595	737.5354	738.543213	776.499084	760.525146	744.551392	755.569763		772.505371	796.549805	67074			
SLM:000056858	Species	Phosphatidylcholine (O-34:6)	PC(O-34:6)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C42H74NO7P	0	736.013184	735.520264	735.519714	736.527588	774.483459	758.509521	742.535767	753.554138		770.489685	794.534119	67073			
SLM:000056859	Species	Phosphatidylcholine (O-35:0)	PC(O-35:0)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C43H88NO7P	0	762.135071	761.629822	761.629272	762.637146	800.593018	784.61908	768.645325	779.663696		796.599243	820.643677				
SLM:000056860	Species	Phosphatidylcholine (O-35:1)	PC(O-35:1)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C43H86NO7P	0	760.119202	759.614197	759.613647	760.62146	798.577332	782.603394	766.629639	777.64801		794.583618	818.628052				
SLM:000056861	Species	Phosphatidylcholine (O-35:2)	PC(O-35:2)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C43H84NO7P	0	758.103271	757.598511	757.598022	758.605835	796.561707	780.587769	764.614014	775.632385		792.567932	816.612366				
SLM:000056862	Species	Phosphatidylcholine (O-35:3)	PC(O-35:3)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C43H82NO7P	0	756.087402	755.582886	755.582336	756.590149	794.546021	778.572083	762.598328	773.616699		790.552307	814.596741				
SLM:000056863	Species	Phosphatidylcholine (O-35:4)	PC(O-35:4)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C43H80NO7P	0	754.071594	753.567261	753.566711	754.574524	792.530396	776.556458	760.582703	771.601074		788.536621	812.581116				
SLM:000056864	Species	Phosphatidylcholine (O-35:5)	PC(O-35:5)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C43H78NO7P	0	752.055725	751.551575	751.551025	752.558838	790.514771	774.540833	758.567017	769.585388		786.520996	810.56543				
SLM:000056865	Species	Phosphatidylcholine (O-35:6)	PC(O-35:6)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C43H76NO7P	0	750.039795	749.53595	749.5354	750.543213	788.499084	772.525146	756.551392	767.569763		784.505371	808.549805				
SLM:000056866	Species	Phosphatidylcholine (O-35:7)	PC(O-35:7)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C43H74NO7P	0	748.023926	747.520264	747.519714	748.527588	786.483459	770.509521	754.535767	765.554138		782.489685	806.534119				
SLM:000056867	Species	Phosphatidylcholine (O-36:0)	PC(O-36:0)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C44H90NO7P	0	776.161682	775.645508	775.644958	776.652771	814.608643	798.634705	782.66095	793.679321		810.614868	834.659363	67067			
SLM:000056868	Species	Phosphatidylcholine (O-36:1)	PC(O-36:1)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C44H88NO7P	0	774.145813	773.629822	773.629272	774.637146	812.593018	796.61908	780.645325	791.663696		808.599243	832.643677	67066			
SLM:000056869	Species	Phosphatidylcholine (O-36:2)	PC(O-36:2)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C44H86NO7P	0	772.129883	771.614197	771.613647	772.62146	810.577332	794.603394	778.629639	789.64801		806.583618	830.628052	67065			23670529 | 20431113
SLM:000056870	Species	Phosphatidylcholine (O-36:3)	PC(O-36:3)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C44H84NO7P	0	770.114014	769.598511	769.598022	770.605835	808.561707	792.587769	776.614014	787.632385		804.567932	828.612366	64537			20431113 | 19603071 | 23670529
SLM:000056871	Species	Phosphatidylcholine (O-36:4)	PC(O-36:4)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C44H82NO7P	0	768.098083	767.582886	767.582336	768.590149	806.546021	790.572083	774.598328	785.616699		802.552307	826.596741	67064			23670529 | 19603071
SLM:000056872	Species	Phosphatidylcholine (O-36:5)	PC(O-36:5)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C44H80NO7P	0	766.082275	765.567261	765.566711	766.574524	804.530396	788.556458	772.582703	783.601074		800.536621	824.581116	64540			23670529 | 19603071 | 20431113
SLM:000056873	Species	Phosphatidylcholine (O-36:6)	PC(O-36:6)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C44H78NO7P	0	764.066406	763.551575	763.551025	764.558838	802.514771	786.540833	770.567017	781.585388		798.520996	822.56543	64538			
SLM:000056874	Species	Phosphatidylcholine (O-36:7)	PC(O-36:7)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C44H76NO7P	0	762.050476	761.53595	761.5354	762.543213	800.499084	784.525146	768.551392	779.569763		796.505371	820.549805				20431113
SLM:000056875	Species	Phosphatidylcholine (O-37:0)	PC(O-37:0)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C45H92NO7P	0	790.188171	789.661133	789.660583	790.668396	828.624329	812.650391	796.676575	807.694946		824.630554	848.674988				
SLM:000056876	Species	Phosphatidylcholine (O-37:1)	PC(O-37:1)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C45H90NO7P	0	788.172424	787.645508	787.644958	788.652771	826.608643	810.634705	794.66095	805.679321		822.614868	846.659363				
SLM:000056877	Species	Phosphatidylcholine (O-37:2)	PC(O-37:2)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C45H88NO7P	0	786.156494	785.629822	785.629272	786.637146	824.593018	808.61908	792.645325	803.663696		820.599243	844.643677				
SLM:000056878	Species	Phosphatidylcholine (O-37:3)	PC(O-37:3)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C45H86NO7P	0	784.140625	783.614197	783.613647	784.62146	822.577332	806.603394	790.629639	801.64801		818.583618	842.628052				
SLM:000056879	Species	Phosphatidylcholine (O-37:4)	PC(O-37:4)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C45H84NO7P	0	782.124695	781.598511	781.598022	782.605835	820.561707	804.587769	788.614014	799.632385		816.567932	840.612366				
SLM:000056880	Species	Phosphatidylcholine (O-37:5)	PC(O-37:5)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C45H82NO7P	0	780.108826	779.582886	779.582336	780.590149	818.546021	802.572083	786.598328	797.616699		814.552307	838.596741				
SLM:000056881	Species	Phosphatidylcholine (O-37:6)	PC(O-37:6)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C45H80NO7P	0	778.093018	777.567261	777.566711	778.574524	816.530396	800.556458	784.582703	795.601074		812.536621	836.581116				
SLM:000056882	Species	Phosphatidylcholine (O-37:7)	PC(O-37:7)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C45H78NO7P	0	776.077087	775.551575	775.551025	776.558838	814.514771	798.540833	782.567017	793.585388		810.520996	834.56543				
SLM:000056883	Species	Phosphatidylcholine (O-38:0)	PC(O-38:0)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C46H94NO7P	0	804.214783	803.676819	803.67627	804.684082	842.639954	826.666016	810.692261	821.710632		838.646179	862.690674	67071			
SLM:000056884	Species	Phosphatidylcholine (O-38:1)	PC(O-38:1)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C46H92NO7P	0	802.198914	801.661133	801.660583	802.668396	840.624329	824.650391	808.676575	819.694946		836.630554	860.674988	67070			
SLM:000056885	Species	Phosphatidylcholine (O-38:2)	PC(O-38:2)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C46H90NO7P	0	800.183105	799.645508	799.644958	800.652771	838.608643	822.634705	806.66095	817.679321		834.614868	858.659363	67069			
SLM:000056886	Species	Phosphatidylcholine (O-38:3)	PC(O-38:3)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C46H88NO7P	0	798.167175	797.629822	797.629272	798.637146	836.593018	820.61908	804.645325	815.663696		832.599243	856.643677	67068			23670529
SLM:000056887	Species	Phosphatidylcholine (O-38:4)	PC(O-38:4)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C46H86NO7P	0	796.151306	795.614197	795.613647	796.62146	834.577332	818.603394	802.629639	813.64801		830.583618	854.628052	64480			23670529 | 19603071
SLM:000056888	Species	Phosphatidylcholine (O-38:5)	PC(O-38:5)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C46H84NO7P	0	794.135376	793.598511	793.598022	794.605835	832.561707	816.587769	800.614014	811.632385		828.567932	852.612366	64445			23670529 | 19603071 | 20431113
SLM:000056889	Species	Phosphatidylcholine (O-38:6)	PC(O-38:6)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C46H82NO7P	0	792.119507	791.582886	791.582336	792.590149	830.546021	814.572083	798.598328	809.616699		826.552307	850.596741	64536			19603071 | 20431113 | 23670529
SLM:000056890	Species	Phosphatidylcholine (O-38:7)	PC(O-38:7)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C46H80NO7P	0	790.103699	789.567261	789.566711	790.574524	828.530396	812.556458	796.582703	807.601074		824.536621	848.581116				20431113 | 19603071 | 23670529
SLM:000056891	Species	Phosphatidylcholine (O-38:8)	PC(O-38:8)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C46H78NO7P	0	788.08783	787.551575	787.551025	788.558838	826.514771	810.540833	794.567017	805.585388		822.520996	846.56543				20431113
SLM:000056892	Species	Phosphatidylcholine (O-39:0)	PC(O-39:0)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C47H96NO7P	0	818.241394	817.692444	817.691895	818.699707	856.655579	840.681641	824.707886	835.726257		852.661865	876.706299				
SLM:000056893	Species	Phosphatidylcholine (O-39:1)	PC(O-39:1)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C47H94NO7P	0	816.225525	815.676819	815.67627	816.684082	854.639954	838.666016	822.692261	833.710632		850.646179	874.690674				
SLM:000056894	Species	Phosphatidylcholine (O-39:2)	PC(O-39:2)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C47H92NO7P	0	814.209595	813.661133	813.660583	814.668396	852.624329	836.650391	820.676575	831.694946		848.630554	872.674988				
SLM:000056895	Species	Phosphatidylcholine (O-39:3)	PC(O-39:3)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C47H90NO7P	0	812.193787	811.645508	811.644958	812.652771	850.608643	834.634705	818.66095	829.679321		846.614868	870.659363				
SLM:000056896	Species	Phosphatidylcholine (O-39:4)	PC(O-39:4)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C47H88NO7P	0	810.177917	809.629822	809.629272	810.637146	848.593018	832.61908	816.645325	827.663696		844.599243	868.643677				
SLM:000056897	Species	Phosphatidylcholine (O-39:5)	PC(O-39:5)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C47H86NO7P	0	808.161987	807.614197	807.613647	808.62146	846.577332	830.603394	814.629639	825.64801		842.583618	866.628052				
SLM:000056898	Species	Phosphatidylcholine (O-39:6)	PC(O-39:6)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C47H84NO7P	0	806.146118	805.598511	805.598022	806.605835	844.561707	828.587769	812.614014	823.632385		840.567932	864.612366				
SLM:000056899	Species	Phosphatidylcholine (O-39:7)	PC(O-39:7)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C47H82NO7P	0	804.130188	803.582886	803.582336	804.590149	842.546021	826.572083	810.598328	821.616699		838.552307	862.596741				
SLM:000056900	Species	Phosphatidylcholine (O-40:0)	PC(O-40:0)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C48H98NO7P	0	832.268005	831.708069	831.70752	832.715393	870.671265	854.697327	838.723572	849.741943		866.67749	890.721924				
SLM:000056901	Species	Phosphatidylcholine (O-40:1)	PC(O-40:1)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C48H96NO7P	0	830.252075	829.692444	829.691895	830.699707	868.655579	852.681641	836.707886	847.726257		864.661865	888.706299				
SLM:000056902	Species	Phosphatidylcholine (O-40:2)	PC(O-40:2)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C48H94NO7P	0	828.236206	827.676819	827.67627	828.684082	866.639954	850.666016	834.692261	845.710632		862.646179	886.690674	72348			20431113
SLM:000056903	Species	Phosphatidylcholine (O-40:3)	PC(O-40:3)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C48H92NO7P	0	826.220276	825.661133	825.660583	826.668396	864.624329	848.650391	832.676575	843.694946		860.630554	884.674988				20431113
SLM:000056904	Species	Phosphatidylcholine (O-40:4)	PC(O-40:4)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C48H90NO7P	0	824.204529	823.645508	823.644958	824.652771	862.608643	846.634705	830.66095	841.679321		858.614868	882.659363				
SLM:000056905	Species	Phosphatidylcholine (O-40:5)	PC(O-40:5)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C48H88NO7P	0	822.188599	821.629822	821.629272	822.637146	860.593018	844.61908	828.645325	839.663696		856.599243	880.643677				23670529 | 19603071 | 20431113
SLM:000056906	Species	Phosphatidylcholine (O-40:6)	PC(O-40:6)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C48H86NO7P	0	820.172729	819.614197	819.613647	820.62146	858.577332	842.603394	826.629639	837.64801		854.583618	878.628052	64533			19603071 | 23670529 | 20431113
SLM:000056907	Species	Phosphatidylcholine (O-40:7)	PC(O-40:7)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C48H84NO7P	0	818.156799	817.598511	817.598022	818.605835	856.561707	840.587769	824.614014	835.632385		852.567932	876.612366				19603071 | 23670529 | 20431113
SLM:000056908	Species	Phosphatidylcholine (O-40:8)	PC(O-40:8)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C48H82NO7P	0	816.14093	815.582886	815.582336	816.590149	854.546021	838.572083	822.598328	833.616699		850.552307	874.596741				23670529 | 20431113
SLM:000056909	Species	Phosphatidylcholine (O-40:9)	PC(O-40:9)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C48H80NO7P	0	814.125122	813.567261	813.566711	814.574524	852.530396	836.556458	820.582703	831.601074		848.536621	872.581116				20431113
SLM:000056910	Species	Phosphatidylcholine (O-41:0)	PC(O-41:0)		SLM:000055212			C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]	InChI=none	InChIKey=none	C49H100NO7P	0	846.294617	845.723755	845.723206	846.731018	884.68689	868.712952	852.739197	863.757568		880.693115	904.73761				
